current_row_id,current_material_label,pollutant,temperature,solution_ph,initial_concentration,response,match_method,source_paper,source_row_id,source_record_uid,source_material_label,source_reference,verified_material_group,source_study_id,source_citation,source_doi_or_url,material_identity_evidence,provenance_confidence,original_material_label,grouping_rule
0,JWC700,Cu2+,25,3.0,0.08,0.0348,exact material + condition + response,Zhu et al. (2019),1.0,1.0,JWC700,[1],Jiang2016::JWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,JWC700,source study + source-specific material label
1,JWC700,Cu2+,25,4.0,0.08,0.0436,exact material + condition + response,Zhu et al. (2019),2.0,2.0,JWC700,[1],Jiang2016::JWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,JWC700,source study + source-specific material label
2,JWC700,Cu2+,25,5.0,0.08,0.0502,exact material + condition + response,Zhu et al. (2019),3.0,3.0,JWC700,[1],Jiang2016::JWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,JWC700,source study + source-specific material label
3,PWC700,Cu2+,25,3.0,0.08,0.0083,exact material + condition + response,Zhu et al. (2019),4.0,4.0,PWC700,[1],Jiang2016::PWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PWC700,source study + source-specific material label
4,PWC700,Cu2+,25,4.0,0.08,0.0223,exact material + condition + response,Zhu et al. (2019),5.0,5.0,PWC700,[1],Jiang2016::PWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PWC700,source study + source-specific material label
5,PWC700,Cu2+,25,5.0,0.08,0.0313,exact material + condition + response,Zhu et al. (2019),6.0,6.0,PWC700,[1],Jiang2016::PWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PWC700,source study + source-specific material label
6,PWC700,Zn2+,25,3.0,0.08,0.0065,exact material + condition + response,Zhu et al. (2019),7.0,7.0,PWC700,[1],Jiang2016::PWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PWC700,source study + source-specific material label
7,PWC700,Zn2+,25,4.0,0.08,0.0137,exact material + condition + response,Zhu et al. (2019),8.0,8.0,PWC700,[1],Jiang2016::PWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PWC700,source study + source-specific material label
8,PWC700,Zn2+,25,5.0,0.08,0.0162,exact material + condition + response,Zhu et al. (2019),9.0,9.0,PWC700,[1],Jiang2016::PWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PWC700,source study + source-specific material label
9,JWC700,Zn2+,25,3.0,0.08,0.0146,exact material + condition + response,Zhu et al. (2019),10.0,10.0,JWC700,[1],Jiang2016::JWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,JWC700,source study + source-specific material label
10,JWC700,Zn2+,25,4.0,0.08,0.0289,exact material + condition + response,Zhu et al. (2019),11.0,11.0,JWC700,[1],Jiang2016::JWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,JWC700,source study + source-specific material label
11,JWC700,Zn2+,25,5.0,0.08,0.0309,exact material + condition + response,Zhu et al. (2019),12.0,12.0,JWC700,[1],Jiang2016::JWC700,Jiang2016,"Jiang et al., Copper and zinc adsorption by softwood and hardwood biochars under elevated sulphate-induced salinity and acidic pH conditions, Chemosphere 142 (2016) 64-71.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,JWC700,source study + source-specific material label
12,WS600,Pb2+,25,5.0,0.2413,0.2208,exact material + condition + response,Zhu et al. (2019),13.0,13.0,WS600,[2],Li2018::WS600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,WS600,source study + source-specific material label
13,WS600,Pb2+,25,5.0,0.4826,0.3785,exact material + condition + response,Zhu et al. (2019),14.0,14.0,WS600,[2],Li2018::WS600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,WS600,source study + source-specific material label
14,WS600,Pb2+,25,5.0,0.7239,0.3974,exact material + condition + response,Zhu et al. (2019),15.0,15.0,WS600,[2],Li2018::WS600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,WS600,source study + source-specific material label
15,WS600,Pb2+,25,5.0,0.9653,0.4453,exact material + condition + response,Zhu et al. (2019),16.0,16.0,WS600,[2],Li2018::WS600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,WS600,source study + source-specific material label
16,WS600,Pb2+,25,5.0,1.4479,0.5248,exact material + condition + response,Zhu et al. (2019),17.0,17.0,WS600,[2],Li2018::WS600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,WS600,source study + source-specific material label
17,WS600,Pb2+,25,5.0,1.9305,0.5934,exact material + condition + response,Zhu et al. (2019),18.0,18.0,WS600,[2],Li2018::WS600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,WS600,source study + source-specific material label
18,WS600,Pb2+,25,5.0,2.4131,0.6519,exact material + condition + response,Zhu et al. (2019),19.0,19.0,WS600,[2],Li2018::WS600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,WS600,source study + source-specific material label
19,RH600,Pb2+,25,5.0,0.2413,0.135,exact material + condition + response,Zhu et al. (2019),20.0,20.0,RH600,[2],Li2018::RH600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,RH600,source study + source-specific material label
20,RH600,Pb2+,25,5.0,0.4826,0.1773,exact material + condition + response,Zhu et al. (2019),21.0,21.0,RH600,[2],Li2018::RH600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,RH600,source study + source-specific material label
21,RH600,Pb2+,25,5.0,0.7239,0.2175,exact material + condition + response,Zhu et al. (2019),22.0,22.0,RH600,[2],Li2018::RH600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,RH600,source study + source-specific material label
22,RH600,Pb2+,25,5.0,0.9653,0.2318,exact material + condition + response,Zhu et al. (2019),23.0,23.0,RH600,[2],Li2018::RH600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,RH600,source study + source-specific material label
23,RH600,Pb2+,25,5.0,1.4479,0.2643,exact material + condition + response,Zhu et al. (2019),24.0,24.0,RH600,[2],Li2018::RH600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,RH600,source study + source-specific material label
24,RH600,Pb2+,25,5.0,1.9305,0.2863,exact material + condition + response,Zhu et al. (2019),25.0,25.0,RH600,[2],Li2018::RH600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,RH600,source study + source-specific material label
25,RH600,Pb2+,25,5.0,2.4131,0.3042,exact material + condition + response,Zhu et al. (2019),26.0,26.0,RH600,[2],Li2018::RH600,Li2018,"Li et al., Qualitative and quantitative correlation of physicochemical characteristics and lead sorption behaviors of crop residue-derived chars, Bioresource Technology 270 (2018) 545-553.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,RH600,source study + source-specific material label
26,BWH350,Pb2+,25,5.5,0.0029,0.0029,exact material + condition + response,Zhu et al. (2019),27.0,27.0,BWH350,[3],Zama2017::BWH350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH350,source study + source-specific material label
27,BWH350,Pb2+,25,5.5,0.0039,0.0038,exact material + condition + response,Zhu et al. (2019),28.0,28.0,BWH350,[3],Zama2017::BWH350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH350,source study + source-specific material label
28,BWH350,Pb2+,25,5.5,0.0048,0.0048,exact material + condition + response,Zhu et al. (2019),29.0,29.0,BWH350,[3],Zama2017::BWH350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH350,source study + source-specific material label
29,BWH450,Pb2+,25,5.5,0.0029,0.0029,exact material + condition + response,Zhu et al. (2019),30.0,30.0,BWH450,[3],Zama2017::BWH450,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH450,source study + source-specific material label
30,BWH450,Pb2+,25,5.5,0.0039,0.0038,exact material + condition + response,Zhu et al. (2019),31.0,31.0,BWH450,[3],Zama2017::BWH450,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH450,source study + source-specific material label
31,BWH450,Pb2+,25,5.5,0.0048,0.0048,exact material + condition + response,Zhu et al. (2019),32.0,32.0,BWH450,[3],Zama2017::BWH450,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH450,source study + source-specific material label
32,BWH550,Pb2+,25,5.5,0.0029,0.0029,exact material + condition + response,Zhu et al. (2019),33.0,33.0,BWH550,[3],Zama2017::BWH550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH550,source study + source-specific material label
33,BWH550,Pb2+,25,5.5,0.0039,0.0039,exact material + condition + response,Zhu et al. (2019),34.0,34.0,BWH550,[3],Zama2017::BWH550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH550,source study + source-specific material label
34,BWH550,Pb2+,25,5.5,0.0048,0.0048,exact material + condition + response,Zhu et al. (2019),35.0,35.0,BWH550,[3],Zama2017::BWH550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH550,source study + source-specific material label
35,BWH650,Pb2+,25,5.5,0.0029,0.0029,exact material + condition + response,Zhu et al. (2019),36.0,36.0,BWH650,[3],Zama2017::BWH650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH650,source study + source-specific material label
36,BWH650,Pb2+,25,5.5,0.0039,0.0039,exact material + condition + response,Zhu et al. (2019),37.0,37.0,BWH650,[3],Zama2017::BWH650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH650,source study + source-specific material label
37,BWH650,Pb2+,25,5.5,0.0048,0.0048,exact material + condition + response,Zhu et al. (2019),38.0,38.0,BWH650,[3],Zama2017::BWH650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BWH650,source study + source-specific material label
38,CC350,Pb2+,25,5.5,0.0029,0.0029,exact material + condition + response,Zhu et al. (2019),39.0,39.0,CC350,[3],Zama2017::CC350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC350,source study + source-specific material label
39,CC350,Pb2+,25,5.5,0.0039,0.0038,exact material + condition + response,Zhu et al. (2019),40.0,40.0,CC350,[3],Zama2017::CC350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC350,source study + source-specific material label
40,CC350,Pb2+,25,5.5,0.0048,0.0048,exact material + condition + response,Zhu et al. (2019),41.0,41.0,CC350,[3],Zama2017::CC350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC350,source study + source-specific material label
41,CC450,Pb2+,25,5.5,0.0029,0.0029,exact material + condition + response,Zhu et al. (2019),42.0,42.0,CC450,[3],Zama2017::CC450,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC450,source study + source-specific material label
42,CC450,Pb2+,25,5.5,0.0039,0.0038,exact material + condition + response,Zhu et al. (2019),43.0,43.0,CC450,[3],Zama2017::CC450,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC450,source study + source-specific material label
