panel_id,dataset,contaminant,feature_set,n_condition_features,condition_features,n_candidate_materials,n_train_materials,n_candidate_rows,n_eligible_condition_strata,selected_model,selected_params,inner_cv_r2,inner_cv_mae,inner_cv_rmse,inner_cv_group_mae,inner_cv_group_rmse,selection_metric
1,Dataset I,Cd (II),AC-only,3,T | pH_solution | C0,5,50,70,4,RF,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 800}",-27.143837291031407,0.1361403129190024,0.2186106500266461,0.0669379807318232,0.1520912006395475,group_mae
2,Dataset I,Cd (II),AC-only,3,T | pH_solution | C0,4,51,24,6,RF,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",-36.97172200137437,0.1096198587191847,0.1805836752113243,0.0431339047279071,0.1057435835249782,group_mae
3,Dataset I,Cd (II),AC-only,3,T | pH_solution | C0,16,39,48,3,RF,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 800}",0.5157588409079483,0.162467991426788,0.2449205218822835,0.1099295374376674,0.2146676530007383,group_mae
4,Dataset I,Cd (II),AC-only,3,T | pH_solution | C0,16,39,80,5,RF,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 800}",0.50419254536312,0.1665828179494161,0.2370080527742358,0.0943774314131143,0.1835046490792214,group_mae
5,Dataset I,Cd (II),AC-only,3,T | pH_solution | C0,3,52,10,1,RF,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 1500}",0.4547798061323534,0.1304779772523537,0.2096733494427433,0.0663478141492278,0.1468521320451408,group_mae
6,Dataset I,Cd (II),AC-only,3,T | pH_solution | C0,4,51,14,2,RF,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.4542201376147625,0.1308032016651775,0.2108969534236956,0.0658071749595959,0.1471469460532525,group_mae
7,Dataset I,Cd (II),AC-only,3,T | pH_solution | C0,3,52,48,16,RF,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 1500}",-1.253135119860017,0.1363484088825287,0.2259867400584521,0.0686972199317766,0.158702697613776,group_mae
8,Dataset I,Pb (II),AC-only,3,T | pH_solution | C0,4,25,16,1,XGB,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 800, ""subsample"": 0.9}",0.4160816192560984,0.0296913227213047,0.0547852251062174,0.0227847567213291,0.0551112511026183,group_mae
9,Dataset I,Pb (II),AC-only,3,T | pH_solution | C0,16,13,48,3,RF,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",-2.834696275655607,0.0999120221739197,0.1199462747554743,0.1005677764901936,0.1331258291657886,group_mae
10,Dataset I,Cu (II),AC-only,3,T | pH_solution | C0,5,4,69,6,XGB,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 800, ""subsample"": 0.9}",-4.013949853462283,0.0665092488676814,0.0780126164357327,0.0665092488676814,0.0957778225302985,group_mae
11,Dataset II,Sr (II),AC-only,9,Adsorption_time (min) | Ci | solution pH | rpm | Volume (L) | Dosage(g/L) | adsorption_temp | Ion Concentration (M) | DOM,3,6,315,29,XGB,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}",0.0426779298074787,1.4622656359434263,2.14463372459866,1.4093261639870207,2.159924228650471,group_mae
12,Dataset III,Ibuprofen,AC-only,9,Adsorption time | Initial concentration | Solution pH | RPM | Volume | Adsorbent dosage | Adsorption temperature | Ion concentration | Humic acid,3,8,504,11,RF,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",-22.8520438569242,31.1254676149957,35.010409945894054,27.564484767250992,35.58063152987261,group_mae
