study_id,doi,panel_id,pollutant,candidate_id,stratum_id,response,response_sd,response_unit_reported,condition_1_name,condition_1_value,condition_2_name,condition_2_value,condition_3_name,condition_3_value,response_type,evidence_tier,source_location,design_replicates,candidate_unit
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_MB_concentration,Methylene blue,B,C0=20,11.09,0.15,q_e mg g^-1,initial_concentration_mg_L,20.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_MB_concentration,Methylene blue,AB,C0=20,19.8,0.71,q_e mg g^-1,initial_concentration_mg_L,20.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_MB_concentration,Methylene blue,CB,C0=20,18.79,0.03,q_e mg g^-1,initial_concentration_mg_L,20.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_MB_concentration,Methylene blue,B,C0=30,14.59,0.03,q_e mg g^-1,initial_concentration_mg_L,30.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_MB_concentration,Methylene blue,AB,C0=30,28.29,0.22,q_e mg g^-1,initial_concentration_mg_L,30.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_MB_concentration,Methylene blue,CB,C0=30,28.69,0.03,q_e mg g^-1,initial_concentration_mg_L,30.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_MB_concentration,Methylene blue,B,C0=40,10.88,0.09,q_e mg g^-1,initial_concentration_mg_L,40.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_MB_concentration,Methylene blue,AB,C0=40,35.1,0.11,q_e mg g^-1,initial_concentration_mg_L,40.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_MB_concentration,Methylene blue,CB,C0=40,31.47,0.04,q_e mg g^-1,initial_concentration_mg_L,40.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_17bE2_concentration,17beta-estradiol,B,C0=10,5.66,0.03,q_e mg g^-1,initial_concentration_mg_L,10.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_17bE2_concentration,17beta-estradiol,AB,C0=10,8.51,0.19,q_e mg g^-1,initial_concentration_mg_L,10.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_17bE2_concentration,17beta-estradiol,CB,C0=10,5.21,0.11,q_e mg g^-1,initial_concentration_mg_L,10.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_17bE2_concentration,17beta-estradiol,B,C0=15,8.07,0.69,q_e mg g^-1,initial_concentration_mg_L,15.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
Vasconcelos2025,10.1016/j.jiec.2024.10.004,Vasconcelos2025_17bE2_concentration,17beta-estradiol,AB,C0=15,12.19,1.15,q_e mg g^-1,initial_concentration_mg_L,15.0,,,,,direct_tabulated_experimental,postfreeze_locked_primary,Main article Table 2,3.0,fixed_physical_material
