ref_id,mad_wt_pct,aad_wt_pct,vad_wt_pct,fcad_wt_pct,cad_wt_pct,had_wt_pct,nad_wt_pct,sad_wt_pct,oad_wt_pct,bet_surface_area_m2_g,vtotal_cm3_g,avg_pore_diameter_nm,k_wt_pct,fe_wt_pct,br_wt_pct,i_wt_pct,cl_wt_pct,total_gas_volume_L_min,co2_pct,o2_pct,h2o_pct,so2_ppm,no_ppm,temperature_C,adsorbent_amount_mg,hg0_concentration_ug_m3,max_hg0_removal_efficiency_pct
1,2.41,29.1,50.3,18.17,35.8,4.81,3.34,0.6,23.9,26.2,0.03,4.63,0.0,0.0,0.0,0.0,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,39.1
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,11.16,0.05,16.72,0.0,0.0,0.0,0.0,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,51.8
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,0.0,600.0,400.0,120.0,250.0,60.0,66.4
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.6,0.03,12.61,0.6,0.0,0.0,1.9,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,68.7
1,2.41,29.1,50.3,18.17,35.8,4.81,3.34,0.6,23.9,16.19,0.04,8.78,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,6.0,600.0,400.0,120.0,250.0,60.0,69.2
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,2.3,0.0,0.85,0.0,6.0,6.0,600.0,400.0,120.0,250.0,60.0,71.6
1,2.41,29.1,50.3,18.17,35.8,4.81,3.34,0.6,23.9,16.19,0.04,8.78,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,1200.0,400.0,120.0,250.0,60.0,72.4
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,7.88,0.03,15.87,10.5,0.0,0.0,34.5,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,72.8
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,11.5,0.0,0.85,0.0,0.0,1.5,600.0,400.0,120.0,250.0,60.0,74.9
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,600.0,400.0,80.0,250.0,60.0,75.2
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,600.0,600.0,120.0,250.0,60.0,76.7
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,1200.0,400.0,120.0,250.0,60.0,79.1
1,2.41,29.1,50.3,18.17,35.8,4.81,3.34,0.6,23.9,16.19,0.04,8.78,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,600.0,400.0,80.0,250.0,60.0,79.3
1,2.41,29.1,50.3,18.17,35.8,4.81,3.34,0.6,23.9,16.19,0.04,8.78,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,600.0,600.0,120.0,250.0,60.0,81.4
1,2.41,29.1,50.3,18.17,35.8,4.81,3.34,0.6,23.9,19.73,0.07,3.42,0.6,0.0,0.0,1.9,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,81.6
1,2.41,29.1,50.3,18.17,35.8,4.81,3.34,0.6,23.9,16.19,0.04,8.78,3.5,0.0,0.0,11.5,0.0,0.85,0.0,0.0,1.5,600.0,400.0,120.0,250.0,60.0,82.9
1,2.41,29.1,50.3,18.17,35.8,4.81,3.34,0.6,23.9,16.19,0.04,8.78,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,0.0,400.0,120.0,250.0,60.0,83.2
1,2.41,29.1,50.3,18.17,35.8,4.81,3.34,0.6,23.9,7.04,0.02,10.95,10.5,0.0,0.0,34.5,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,84.6
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,85.0
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,85.2
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,85.2
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,85.3
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,85.4
1,7.61,8.94,71.7,12.35,50.9,1.26,6.08,3.81,22.0,10.08,0.04,13.34,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,1.5,600.0,400.0,120.0,250.0,60.0,85.5
1,2.41,29.1,50.3,18.17,35.8,4.81,3.34,0.6,23.9,16.19,0.04,8.78,3.5,0.0,0.0,11.5,0.0,0.85,0.0,6.0,0.0,600.0,400.0,120.0,250.0,60.0,85.5
