repository_stream,discovery_scope,record_identifier,associated_article,title,screening_decision_original,screening_decision,primary_panels,sensitivity_panels,decision_reason
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.wmb.2025.100249,10.1016/j.wmb.2025.100249,,excluded_primary,excluded_primary,0,0,Only two fixed biochar candidates were compared; protocol requires at least three
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jece.2026.122974,10.1016/j.jece.2026.122974,,excluded_primary,excluded_primary,0,0,Multiple materials were studied but shared-condition adsorption responses were plotted rather than directly tabulated
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.wroa.2026.100527,10.1016/j.wroa.2026.100527,,excluded_primary,excluded_primary,0,0,Review article rather than a new fixed-candidate experiment
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jclepro.2024.142566,10.1016/j.jclepro.2024.142566,,excluded_primary,excluded_primary,0,0,Twelve biochars were compared at one tabulated experimental endpoint; multi-condition results were fitted kinetic parameters
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jes.2025.05.026,10.1016/j.jes.2025.05.026,,excluded_primary,excluded_primary,0,0,Orthogonal treatments changed the preparation or remediation design and did not measure a fixed candidate panel over shared adsorption strata
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jaap.2025.107327,10.1016/j.jaap.2025.107327,,excluded_primary,excluded_primary,0,0,Three fixed adsorbents were reported across temperatures only through fitted isotherm and kinetic endpoints
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.enmm.2025.101040,10.1016/j.enmm.2025.101040,,excluded_primary,excluded_primary,0,0,Shared-condition DNA responses were plotted; tables contained fitted kinetic and isotherm parameters
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jiec.2024.10.004,10.1016/j.jiec.2024.10.004,,included_locked_primary,included_locked_primary,2,0,Table 2 directly reports equilibrium adsorption for three fixed materials at three shared initial concentrations for each of two pollutants
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.chemosphere.2024.143965,10.1016/j.chemosphere.2024.143965,,excluded_primary,excluded_primary,0,0,Tables report fitted kinetic or isotherm results and the supplement does not provide a complete fixed-candidate response matrix
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.clet.2024.100839,10.1016/j.clet.2024.100839,,excluded_primary,excluded_primary,0,0,Only selected materials had fitted multi-condition phosphate adsorption results
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.pce.2022.103352,10.1016/j.pce.2022.103352,,excluded_primary,excluded_primary,0,0,Tables report thermodynamic and fitted isotherm parameters rather than direct shared-condition responses
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.scitotenv.2019.134223,10.1016/j.scitotenv.2019.134223,,excluded_primary,excluded_primary,0,0,Multiple aged biochars were compared through fitted kinetic and isotherm parameters rather than direct tabulated responses
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jhazmat.2025.139126,10.1016/j.jhazmat.2025.139126,,excluded_primary,excluded_primary,0,0,Three biochars were available but adsorption tables contained fitted parameters rather than direct shared-condition responses
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jenvman.2025.126072,10.1016/j.jenvman.2025.126072,,excluded_primary,excluded_primary,0,0,Many fixed materials were studied but direct kinetic and isotherm responses were shown graphically; supplementary tables report fitted parameters
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jece.2024.113488,10.1016/j.jece.2024.113488,,excluded_primary,excluded_primary,0,0,Three materials were present but the adsorption table contained Langmuir fitting parameters
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.scp.2024.101631,10.1016/j.scp.2024.101631,,excluded_primary,excluded_primary,0,0,Only one selected biochar was evaluated across tabulated adsorption-model conditions
