dataset,source_row_id,task_label,source_study_id,source_citation,source_doi_or_url,original_material_label,verified_material_group,grouping_rule,provenance_confidence
Dataset II,0,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,1,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,2,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,3,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,4,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,5,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,6,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,7,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,8,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,9,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,10,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,11,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,12,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,13,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,14,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,15,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,16,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,17,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,18,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,19,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,20,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
