dataset,source_row_id,task_label,source_study_id,source_citation,source_doi_or_url,original_material_label,verified_material_group,grouping_rule,provenance_confidence
Dataset III,0,IBF,Kwak2020_Pine,"Kwak et al., Effects of the pyrolysis temperature on adsorption of carbamazepine and ibuprofen by NaOH pre-treated pine sawdust biochars, Journal of Korean Society of Environmental Engineers 42 (2020) 29-39.",,PB600,Kwak2020_Pine::PB600,source study + source-specific material label,material label and source study verified from source article/SI
Dataset III,1,IBF,Kwak2020_Pine,"Kwak et al., Effects of the pyrolysis temperature on adsorption of carbamazepine and ibuprofen by NaOH pre-treated pine sawdust biochars, Journal of Korean Society of Environmental Engineers 42 (2020) 29-39.",,PB600,Kwak2020_Pine::PB600,source study + source-specific material label,material label and source study verified from source article/SI
Dataset III,2,IBF,Kwak2020_Pine,"Kwak et al., Effects of the pyrolysis temperature on adsorption of carbamazepine and ibuprofen by NaOH pre-treated pine sawdust biochars, Journal of Korean Society of Environmental Engineers 42 (2020) 29-39.",,PB600,Kwak2020_Pine::PB600,source study + source-specific material label,material label and source study verified from source article/SI
Dataset III,3,IBF,Kwak2020_Pine,"Kwak et al., Effects of the pyrolysis temperature on adsorption of carbamazepine and ibuprofen by NaOH pre-treated pine sawdust biochars, Journal of Korean Society of Environmental Engineers 42 (2020) 29-39.",,PB600,Kwak2020_Pine::PB600,source study + source-specific material label,material label and source study verified from source article/SI
Dataset III,4,IBF,Kwak2020_Pine,"Kwak et al., Effects of the pyrolysis temperature on adsorption of carbamazepine and ibuprofen by NaOH pre-treated pine sawdust biochars, Journal of Korean Society of Environmental Engineers 42 (2020) 29-39.",,PB600,Kwak2020_Pine::PB600,source study + source-specific material label,material label and source study verified from source article/SI
Dataset III,5,IBF,Kwak2020_Pine,"Kwak et al., Effects of the pyrolysis temperature on adsorption of carbamazepine and ibuprofen by NaOH pre-treated pine sawdust biochars, Journal of Korean Society of Environmental Engineers 42 (2020) 29-39.",,PB600,Kwak2020_Pine::PB600,source study + source-specific material label,material label and source study verified from source article/SI
Dataset III,6,IBF,Kwak2020_Pine,"Kwak et al., Effects of the pyrolysis temperature on adsorption of carbamazepine and ibuprofen by NaOH pre-treated pine sawdust biochars, Journal of Korean Society of Environmental Engineers 42 (2020) 29-39.",,PB600,Kwak2020_Pine::PB600,source study + source-specific material label,material label and source study verified from source article/SI
Dataset III,7,IBF,Kwak2020_Pine,"Kwak et al., Effects of the pyrolysis temperature on adsorption of carbamazepine and ibuprofen by NaOH pre-treated pine sawdust biochars, Journal of Korean Society of Environmental Engineers 42 (2020) 29-39.",,PB600,Kwak2020_Pine::PB600,source study + source-specific material label,material label and source study verified from source article/SI
Dataset III,8,IBF,Kwak2020_Pine,"Kwak et al., Effects of the pyrolysis temperature on adsorption of carbamazepine and ibuprofen by NaOH pre-treated pine sawdust biochars, Journal of Korean Society of Environmental Engineers 42 (2020) 29-39.",,PB600,Kwak2020_Pine::PB600,source study + source-specific material label,material label and source study verified from source article/SI
Dataset III,9,IBF,Kwak2020_Pine,"Kwak et al., Effects of the pyrolysis temperature on adsorption of carbamazepine and ibuprofen by NaOH pre-treated pine sawdust biochars, Journal of Korean Society of Environmental Engineers 42 (2020) 29-39.",,PB600,Kwak2020_Pine::PB600,source study + source-specific material label,material label and source study verified from source article/SI
