protocol_id,protocol_sha256,analysis_status,study_id,panel_id,pollutant,strategy,per_anchor_fraction,n_candidates,n_strata,anchors,n_retained,retained_candidates,candidate_reduction_fraction,baseline_assay_units,protocol_assay_units,assay_reduction_fraction,query_best_coverage,mean_regret,mean_normalized_regret
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_coco_coir_concentration,Pb(II),ever_top_one_third,0.3333333333333333,10,5,Ci=90.35118965 | Ci=5451.330085,8,Cococoir-300C | Cococoir-450C | Cococoir-500C | Cococoir-550C | Cococoir-600C | Cococoir-650C | Cococoir-700C | Cococoir-750C,0.19999999999999996,50,44,0.12,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,frozen_primary,Ogbuagu2023,Ogbuagu2023_Pb_coco_coir_concentration,Pb(II),ever_top_half_frozen_primary,0.5,10,5,Ci=90.35118965 | Ci=5451.330085,8,Cococoir-300C | Cococoir-450C | Cococoir-500C | Cococoir-550C | Cococoir-600C | Cococoir-650C | Cococoir-700C | Cococoir-750C,0.19999999999999996,50,44,0.12,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_coco_coir_concentration,Pb(II),ever_top_two_thirds,0.6666666666666666,10,5,Ci=90.35118965 | Ci=5451.330085,9,Cococoir-300C | Cococoir-400C | Cococoir-450C | Cococoir-500C | Cococoir-550C | Cococoir-600C | Cococoir-650C | Cococoir-700C | Cococoir-750C,0.09999999999999998,50,47,0.06000000000000005,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_coco_coir_concentration,Pb(II),ever_top_three_quarters,0.75,10,5,Ci=90.35118965 | Ci=5451.330085,9,Cococoir-300C | Cococoir-400C | Cococoir-450C | Cococoir-500C | Cococoir-550C | Cococoir-600C | Cococoir-650C | Cococoir-700C | Cococoir-750C,0.09999999999999998,50,47,0.06000000000000005,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_coco_coir_concentration,Pb(II),retain_all,1.0,10,5,Ci=90.35118965 | Ci=5451.330085,10,Cococoir-300C | Cococoir-350C | Cococoir-400C | Cococoir-450C | Cococoir-500C | Cococoir-550C | Cococoir-600C | Cococoir-650C | Cococoir-700C | Cococoir-750C,0.0,50,50,0.0,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_pine_bark_concentration,Pb(II),ever_top_one_third,0.3333333333333333,10,4,Ci=95.94271 | Ci=1146.284284,4,Pinebark-600C | Pinebark-650C | Pinebark-700C | Pinebark-750C,0.6,40,28,0.30000000000000004,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,frozen_primary,Ogbuagu2023,Ogbuagu2023_Pb_pine_bark_concentration,Pb(II),ever_top_half_frozen_primary,0.5,10,4,Ci=95.94271 | Ci=1146.284284,5,Pinebark-550C | Pinebark-600C | Pinebark-650C | Pinebark-700C | Pinebark-750C,0.5,40,30,0.25,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_pine_bark_concentration,Pb(II),ever_top_two_thirds,0.6666666666666666,10,4,Ci=95.94271 | Ci=1146.284284,7,Pinebark-450C | Pinebark-500C | Pinebark-550C | Pinebark-600C | Pinebark-650C | Pinebark-700C | Pinebark-750C,0.30000000000000004,40,34,0.15000000000000002,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_pine_bark_concentration,Pb(II),ever_top_three_quarters,0.75,10,4,Ci=95.94271 | Ci=1146.284284,9,Pinebark-350C | Pinebark-400C | Pinebark-450C | Pinebark-500C | Pinebark-550C | Pinebark-600C | Pinebark-650C | Pinebark-700C | Pinebark-750C,0.09999999999999998,40,38,0.050000000000000044,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_pine_bark_concentration,Pb(II),retain_all,1.0,10,4,Ci=95.94271 | Ci=1146.284284,10,Pinebark-300C | Pinebark-350C | Pinebark-400C | Pinebark-450C | Pinebark-500C | Pinebark-550C | Pinebark-600C | Pinebark-650C | Pinebark-700C | Pinebark-750C,0.0,40,40,0.0,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_wheat_straw_concentration,Pb(II),ever_top_one_third,0.3333333333333333,10,5,Ci=96.02042833 | Ci=5740.99783,6,WheatStraw-300C | WheatStraw-450C | WheatStraw-600C | WheatStraw-650C | WheatStraw-700C | WheatStraw-750C,0.4,50,38,0.24,0.3333333333333333,0.0983015233333339,0.047420320887191135
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,frozen_primary,Ogbuagu2023,Ogbuagu2023_Pb_wheat_straw_concentration,Pb(II),ever_top_half_frozen_primary,0.5,10,5,Ci=96.02042833 | Ci=5740.99783,7,WheatStraw-300C | WheatStraw-450C | WheatStraw-500C | WheatStraw-600C | WheatStraw-650C | WheatStraw-700C | WheatStraw-750C,0.30000000000000004,50,41,0.18000000000000005,0.3333333333333333,0.0983015233333339,0.047420320887191135
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_wheat_straw_concentration,Pb(II),ever_top_two_thirds,0.6666666666666666,10,5,Ci=96.02042833 | Ci=5740.99783,9,WheatStraw-300C | WheatStraw-350C | WheatStraw-450C | WheatStraw-500C | WheatStraw-550C | WheatStraw-600C | WheatStraw-650C | WheatStraw-700C | WheatStraw-750C,0.09999999999999998,50,47,0.06000000000000005,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_wheat_straw_concentration,Pb(II),ever_top_three_quarters,0.75,10,5,Ci=96.02042833 | Ci=5740.99783,10,WheatStraw-300C | WheatStraw-350C | WheatStraw-400C | WheatStraw-450C | WheatStraw-500C | WheatStraw-550C | WheatStraw-600C | WheatStraw-650C | WheatStraw-700C | WheatStraw-750C,0.0,50,50,0.0,1.0,0.0,0.0
