panel_id,dataset,contaminant,n_candidate_materials,n_train_materials,n_condition_strata,n_condition_material_cells,candidate_source_count,candidate_source_ids_reconstructed,candidate_source_material_count,candidate_panel_is_source_complete,candidate_panel_evidence_tier,full_raw_predictive_q2,condition_only_raw_predictive_q2,full_pairwise_accuracy,full_pairwise_accuracy_ci_low,full_pairwise_accuracy_ci_high,full_median_spearman,full_normalized_top1_regret,full_top1_lift_over_chance,full_regret_reduction_vs_chance,full_condition_centered_contrast_q2,full_condition_centered_contrast_q2_ci_low,full_condition_centered_contrast_q2_ci_high,full_condition_centered_contrast_mae,full_condition_centered_contrast_ss,condition_only_condition_centered_contrast_q2,condition_only_condition_centered_contrast_mae,condition_only_condition_centered_contrast_ss,condition_only_pairwise_accuracy,condition_only_pairwise_accuracy_ci_low,condition_only_pairwise_accuracy_ci_high,median_observed_within_stratum_range,observed_total_ss,between_condition_ss,within_condition_material_ss,condition_variation_share,material_contrast_share,full_equal_stratum_mae,condition_only_equal_stratum_mae,material_information_delta_mae,material_information_delta_mae_iqr_normalized,material_information_delta_mae_ci_low,material_information_delta_mae_ci_high,material_information_gain_mse,material_information_gain_mae,material_information_gain_mae_ci_low,material_information_gain_mae_ci_high,pairwise_difference_mae,pairwise_difference_iqr,pairwise_difference_mae_iqr_normalized,pairwise_difference_mae_ci_low,pairwise_difference_mae_ci_high,pairwise_permutation_p_one_sided,pairwise_permutation_method,pairwise_permutation_reps,pairwise_permutation_unit,pairwise_leave_one_stratum_out_min,pairwise_leave_one_stratum_out_max,condition_only_max_within_stratum_prediction_range,observed_response_iqr,minimum_exact_permutation_p,reporting_support,pairwise_permutation_p_holm,pairwise_permutation_q_bh,pairwise_permutation_holm_lt_005,pairwise_permutation_bh_lt_005
1,Dataset I,Cd (II),5,50,4,20,1,Wang2021_invasive,5.0,True,primary_complete_single_source,0.567784230681138,-0.012569337034512351,0.7,0.625,0.7749999999999999,0.5499999999999999,0.2933524136334059,0.0499999999999999,0.2866503088398245,-0.9058144103937782,-109.55897666433559,0.08278866586213252,0.047791357643274905,0.001737732231022171,0.0,0.027420274760000005,0.001737732231022171,0.5,0.5,0.5,0.0740988145,0.3578129674840858,0.32305832286364244,0.03475464462044342,0.9028692423731426,0.0971307576268576,0.07682543726546018,0.1217343519842996,0.04490891471883943,0.20987329266156576,-0.006813809653858527,0.09663163909153741,0.5731494589944013,0.3689091368772509,-0.0887336028717094,0.607364718249527,0.07241866115713042,0.053044796749999984,1.3652359061424897,0.06953965238169253,0.07660392626602029,0.09166666666666666,exact,120,candidate label fixed across panel conditions,0.6666666666666666,0.7333333333333334,0.0,0.21398108425000006,0.008333333333333333,limited_condition_support,0.825,0.4,False,False
2,Dataset I,Cd (II),4,51,6,24,1,Cui2016_Canna,4.0,True,primary_complete_single_source,0.696995749941538,0.46566630938572995,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7999999999999999,0.1940214664709213,-0.25,0.2899487854547417,0.10053766975643141,0.09455762658851341,0.10616513781522185,0.299810686027344,0.117506726875,0.0,0.32663333333333333,0.117506726875,0.5,0.5,0.5,0.86515,3.688045185,0.86788374,2.8201614449999997,0.23532351054966807,0.7646764894503318,0.3808999316802608,0.5328739194216396,0.15197398774137882,0.22558110099655457,0.09265247348743755,0.20574190929957908,0.43293066602233476,0.28519689593051467,0.2243191897375726,0.32485053395869296,0.47960044411170194,0.47325,1.0134187936855825,0.4388511648129169,0.5073114925460294,0.16666666666666666,exact,24,candidate label fixed across panel conditions,0.8333333333333334,0.8333333333333334,0.0,0.6737000000000001,0.041666666666666664,higher_support,1.0,0.4,False,False
3,Dataset I,Cd (II),16,39,3,48,1,Zama2017,16.0,True,primary_complete_single_source,0.7272612945015006,0.999828483311347,0.4741799618398084,0.44347826086956516,0.49166666666666664,-0.0088300244655789,0.5625,-0.0833333333333333,-0.2090773809523809,-481.02013757786534,-1065.1944613434482,-352.26465689907417,0.026650234492619836,3.745494791666667e-06,0.0,0.0016124999999999998,3.745494791666667e-06,0.5,0.5,0.5,0.006500000000000001,0.00021041,3.062624999999999e-05,0.00017978375000000002,0.14555510669644975,0.8544448933035502,0.16466948632895942,0.003603746464755533,-0.1610657398642039,-51.131980909271086,-0.16292573090861473,-0.15885366774387755,-1589.1584133907813,-44.69397096588761,-67.1127479973702,-30.1876609636445,0.04161799339771271,0.0028999999999999994,14.351032206107833,0.04127126911481222,0.04193462788820266,0.6133838661613383,Monte Carlo,100000,candidate label fixed across panel conditions,0.4654366094263792,0.48953081232492995,0.0,0.0031499999999999996,4.779477332387385e-14,limited_condition_support,1.0,0.8762626659447691,False,False
4,Dataset I,Cd (II),16,39,5,80,1,Alves2021,16.0,True,primary_complete_single_source,0.9990251653463241,0.9988438566869485,0.8035037196294803,0.7561576354679803,0.836247412718001,0.8132896698876542,0.0,0.5,0.2911821216605676,0.179756724701437,-0.27313215288555637,0.2737153123446199,0.004215613102699207,5.057051981608002e-05,0.0,0.0046320695125,5.057051981608002e-05,0.5,0.5,0.5,0.008682500999999999,0.011074874046515056,0.007029232461228655,0.004045641585286401,0.6347008942680077,0.3652991057319923,0.008054261579281245,0.007212615999756089,-0.0008416455795251555,-0.0699773500112373,-0.003682506928767271,0.0019992157697169624,0.1568219591195391,-0.1166907512549702,-1.3438400549915106,0.16489938791003755,0.005586524356354153,0.006903522250000002,0.8092281235646269,0.0019216268410666697,0.010838315687235395,0.00015999840001599985,Monte Carlo,100000,candidate label fixed across panel conditions,0.7922584374156383,0.8258082209654218,0.0,0.0120274,4.779477332387385e-14,higher_support,0.0015999840001599986,0.0015999840001599986,True,True
5,Dataset I,Cd (II),3,52,1,3,1,Cui2016_Wetland,4.0,False,sensitivity_partial_single_source,-0.17174892622616889,0.08930452986056947,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.5,0.5096468875136513,-0.3333333333333333,-0.0064312583424341,-0.2479763253770748,-0.2479763253770748,-0.2479763253770748,0.11541134748458858,0.012578242222222223,0.0,0.09215555555555555,0.012578242222222223,0.5,0.5,0.5,0.2747,0.03773472666666667,0.0,0.03773472666666667,0.0,1.0,0.10803331405321753,0.0927002490023222,-0.015333065050895336,-0.11163498398904505,-0.015333065050895336,-0.015333065050895336,-0.2866528544901734,-0.16540478818467075,-0.16540478818467075,-0.16540478818467075,0.19491299928029374,0.07,2.78447141828991,0.19491299928029374,0.19491299928029374,0.8333333333333334,exact,6,candidate label fixed across panel conditions,0.3333333333333333,0.3333333333333333,0.0,0.13735,0.16666666666666666,limited_condition_support,,,,
6,Dataset I,Cd (II),4,51,2,8,1,Cui2016_Wetland,4.0,True,primary_complete_single_source,-2.0164648663528517,-1.103326985577242,0.1666666666666666,0.16666666666666666,0.16666666666666666,-0.7999999999999999,1.0,-0.25,-0.4239779620793815,-0.39050034074952333,-0.4209635449773612,-0.35831054939538753,0.12074583967533238,0.0119269984375,0.0,0.0980125,0.0119269984375,0.5,0.5,0.5,0.28145000000000003,0.09854834875,0.0031323612499999957,0.0954159875,0.031785020142207056,0.9682149798577928,0.15540884238633276,0.13057708746161104,-0.024831754924721727,-0.13399031390649793,-0.05012108878566589,0.0004575789362224192,-0.4341397638299238,-0.19016931230007805,-0.4976032641912722,0.0028522177243721636,0.19042693008744313,0.12245,1.5551403028782615,0.18564634095088758,0.19520751922399868,0.9583333333333334,exact,24,candidate label fixed across panel conditions,0.16666666666666666,0.16666666666666666,0.0,0.185325,0.041666666666666664,limited_condition_support,1.0,1.0,False,False
7,Dataset I,Cd (II),3,52,16,48,1,Gao2019,3.0,True,primary_complete_single_source,0.1429202232879604,0.1825816719925023,0.3958333333333332,0.3333333333333333,0.49999999999999994,-0.5,1.0,-0.2083333333333333,-0.5188869543767314,-1.439745936239326,-2.271914127975642,-0.6555060064855709,0.11344855887478666,0.00847086611111111,0.0,0.06951249999999999,0.00847086611111111,0.5,0.5,0.5,0.22075,4.290357419166667,3.8837558458333343,0.4066015733333333,0.9052289742768544,0.09477102572314573,0.3182037942363196,0.3278478547960716,0.009644060559751977,0.01970286645845442,-0.0019023915267553715,0.022497233169200475,-0.04852038099172429,0.029416268609568252,-0.005778145528662115,0.07414179983711261,0.1906095499088883,0.13289999999999996,1.4342328811804992,0.13060950107151534,0.24392398092346113,0.8333333333333334,exact,6,candidate label fixed across panel conditions,0.35555555555555546,0.39999999999999997,0.0,0.489475,0.16666666666666666,higher_support,1.0,1.0,False,False
8,Dataset I,Pb (II),4,25,1,4,2,Li2018 | Trakal2014,,False,sensitivity_cross_source,0.4624796846355509,0.3206309210978534,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3999999999999999,0.3409760890926956,-0.25,0.0104814936128398,-0.03073510075130015,-0.03073510075130015,-0.03073510075130015,0.10328262307812489,0.014595944999999997,0.0,0.09899999999999998,0.014595944999999997,0.5,0.5,0.5,0.30529999999999996,0.05838377999999999,0.0,0.05838377999999999,0.0,1.0,0.19331808202187525,0.2255796292304993,0.032261547208624036,0.23118271020153375,0.032261547208624036,0.032261547208624036,0.20879484795940906,0.1430162258829626,0.1430162258829626,0.1430162258829626,0.1745887526933333,0.17517499999999997,0.9966533620284477,0.1745887526933333,0.1745887526933333,0.8333333333333334,exact,24,candidate label fixed across panel conditions,0.3333333333333333,0.3333333333333333,0.0,0.13955,0.041666666666666664,limited_condition_support,,,,
9,Dataset I,Pb (II),16,13,3,48,1,Zama2017,16.0,True,primary_complete_single_source,0.5917392315476698,0.9929818754032143,0.5960292580982236,0.5517241379310345,0.6363636363636364,0.0840168050416805,0.0,0.2916666666666666,0.0937499999999998,-1648675.4783995529,-5165429.443061114,-1091522.5763599256,0.045714321265833385,1.8359374999999923e-09,0.0,2.9166666666666812e-05,1.8359374999999923e-09,0.5,0.5,0.5,9.999999999999983e-05,2.858979166666666e-05,2.850166666666665e-05,8.812499999999963e-08,0.9969176060802585,0.003082393919741154,0.12347213537916664,0.017706489466666534,-0.10576564591250011,-55.666129427631645,-0.10576564591250014,-0.10576564591250011,-57.172345449567715,-5.9732702019567405,-6.31035235560712,-5.671640947034231,0.05845839205179635,9.99999999999994e-05,584.583920517967,0.058451264971166726,0.05846195559211117,0.33503664963350366,Monte Carlo,100000,candidate label fixed across panel conditions,0.5758620689655172,0.6181818181818182,0.0,0.0018999999999999998,4.779477332387385e-14,limited_condition_support,1.0,0.5583944160558394,False,False
10,Dataset I,Cu (II),5,4,6,30,1,Wang2021_invasive,5.0,True,primary_complete_single_source,0.5670667959930696,0.6632176694159742,0.6435185185185185,0.6018518518518519,0.6935185185185185,0.2924247867371795,0.3812104433550407,0.1555555555555555,0.1002945902441995,0.0053140389249434206,0.004223648014488016,0.007920246723078677,0.023505085397164716,0.0009962154697239867,0.0,0.02355530574666667,0.0009962154697239867,0.5,0.5,0.5,0.06423815099999998,0.33389151665453637,0.30400505256281674,0.029886464091719595,0.9104904958617385,0.08950950413826139,0.10513467473063609,0.09052864841892065,-0.01460602631171544,-0.11807731433491231,-0.0406184812386831,0.00037196626265842414,-0.2854985689307574,-0.16134148213641897,-0.5317657507328593,0.0043876485859205274,0.03445469634468384,0.05214589575,0.6607364941982772,0.015270241016115921,0.05432671563759562,0.2,exact,120,candidate label fixed across panel conditions,0.6222222222222222,0.6522222222222223,0.0,0.12369883575000001,0.008333333333333333,limited_training_material_support,1.0,0.4,False,False
